Jaar;Dag;Van tot datum;Weeknummer;Tijden Van ;Tijden Tot;Evenement;Locatie
2016;woensdag;08/06/2016;23;22:00;01:00;Openluchtvoorstelling in het kader van het Belgisch Film Festival;Ledig Erf
2016;woensdag;08/06/2016;23;19:30;21:30;Zomeravondcup 2016;Atletiekbaan Overvecht
2016;zaterdag;11/06/2016;23;09:00;15:00;Dag van de Munt 2016;Leidseweg
2016;donderdag;09-06-2016;23;20:30;23:00;Las Nueve Open Air Tango;Korte Minrebroederstraat
2016;zaterdag;11/06/2016;23;11:00;18:00;Braderie WKC De Klop;WKC De Klop
2016;zaterdag;11/06/2016;23;10:00;19:30;City Sprints 2016;Catharijnesingel
2016;zaterdag;11/06/2016;23;14:00;23:00;Festijn op het Plein;Dorpsplein
2016;vrijdag;10/06/2016;23;20:00;22:30;Utrecht Skate Parade;Lucasbolwerk
2016;zaterdag;11/06/2016;23;13:00;21:00;Benefietconcert Veritas;Park Lepelenburg
2016;zondag;12-06-2016;23;11:30;16:00;Run for KiKa Utrecht;Maximapark
2016;zaterdag;11/06/2016;23;10:00;21:00;Urban Chase;Neude
2016;zaterdag;11/06/2016;23;10:00;21:00;Urban Chase;Domplein
2016;zaterdag;11/06/2016;23;10:00;21:00;Urban Chase;Ledig Erf
2016;zaterdag;11/06/2016;23;10:00;21:00;Urban Chase;Griftpark
2016;zaterdag;11/06/2016;23;10:00;21:00;Urban Chase;Wilhelminapark
2016;zaterdag;11/06/2016;23;10:00;21:00;Urban Chase;Julianapark
2016;zaterdag;11/06/2016;23;10:00;21:00;Urban Chase;Plantage
2016;zondag;12-06-2016;23;13:00;18:00;Bewoners samen in beweging door cultuur, dans en muziek;Tolsteegplantsoen
2016;zondag;12-06-2016;23;11:00;17:00;HHmarkt;Vredenburg
2016;zondag;12-06-2016;23;10:30;13:00;Parkdienst Leidsche Rijn;Amaliapark
