"";"location_adress";"year";"day";"date_from_to";"weeknr";"time_from";"time_to";"event_naam";"location";"openbareruimtenaam";"rdx";"rdy";"lon.x";"lat.x";"nday";"location_ch";"lon.y";"lat.y"
"4267";"westkanaaldijk,utrecht";2013;"donderdag";"12-09-2013";"37";"8:00";"18:00";"Innovatiedag Strukton";"Westkanaaldijk";"Westkanaaldijk";132076;459883;5,052431;52,126685;"donderdag";"Westkanaaldijk";5,050659;52,1275522
"4268";"westkust,utrecht";2015;"zondag";"11-01-2015";"2";"12:00";"20:00";"CZ Nieuwjaarsduik";"westkust";"";NA;NA;NA;NA;"zondag";"westkust";5,1044101;52,0912213
"4269";"westplein,utrecht";2011;"maandag";"04-07-2011 t/m 03-08-2011";"27";"";"";"Objectvergunning geldmuseum";"Westplein";"Westplein";135732;456023;5,106046;52,092131;"maandag";"Westplein";5,105689;52,090608
"4270";"westplein,utrecht";2014;"zaterdag";"24/24";"21";"11:00";"23:00";"CZ De stad de Toekomst";"Westplein";"Westplein";135732;456023;5,106046;52,092131;"zaterdag";"Westplein";5,105689;52,090608
"4271";"westplein,utrecht";2014;"zaterdag";"17-05-2014";"20";"11:00";"17:00";"Infomarkt Lekker Utregs";"Westplein";"Westplein";135732;456023;5,106046;52,092131;"zaterdag";"Westplein";5,105689;52,090608
"4272";"westplein,utrecht";2016;"vrijdag";"jaarvergunning";"jaar";"wisselend";"";"Arrival / Departures";"Westplein";"Westplein";135732;456023;5,106046;52,092131;"vrijdag";"Westplein";5,105689;52,090608
"4273";"wevelaan,utrecht";2011;"maandag";"24-10-2011";"43";"07:45";"15:30";"Streetwise ";"Wevelaan";"Wevelaan";137944;457352;5,138261;52,10415;"maandag";"Wevelaan";5,1386448;52,1050362
"4274";"wielingenplein,utrecht";2014;"dinsdag";"07-10-2014 t/m 08-10-2014";"41";"16:00";"20:00";"Magic Circus";"Wielingenplein";"Wielingenplein";136395;454154;5,115818;52,075354;"dinsdag";"Wielingenplein";5,1164065;52,0747713
"4275";"wielingenplein,utrecht";2013;"maandag";"08-10-2013 t/m 09-10-2013";"";"16:00";"18:00";"Magic Circus";"Wielingenplein";"Wielingenplein";136395;454154;5,115818;52,075354;"maandag";"Wielingenplein";5,1164065;52,0747713
"4276";"wielingenplein,utrecht";2011;"maandag";"03-10-2011 t/m 05-10-2011";"40";"16:00";"18:00";"Magic Circus";"Wielingenplein";"Wielingenplein";136395;454154;5,115818;52,075354;"maandag";"Wielingenplein";5,1164065;52,0747713
"4277";"wielingenplein,utrecht";2016;"dinsdag";"4-10-2016 t/m 05-10-2016";"40";"16:00";"18:00";"Magic Circus";"Wielingenplein";"Wielingenplein";136395;454154;5,115818;52,075354;"dinsdag";"Wielingenplein";5,1164065;52,0747713
"4278";"wielingenplein,utrecht";2015;"dinsdag";"06-10-2015 t/m 07-10-2015";"41";"16:00";"18:00";"magic Circus";"Wielingenplein";"Wielingenplein";136395;454154;5,115818;52,075354;"dinsdag";"Wielingenplein";5,1164065;52,0747713
"4279";"wielingenplein,utrecht";2012;"maandag";"01-10-2012 t/m 03-10-2012";"40";"16:00";"19:00";"Magic Circus";"Wielingenplein";"Wielingenplein";136395;454154;5,115818;52,075354;"maandag";"Wielingenplein";5,1164065;52,0747713
"4280";"wielrevelt,utrecht";2012;"zondag";"03/06/2012";"22";"13:00";"19:00";"Lions utrecht novum klootschieten";"Wielrevelt";"";NA;NA;NA;NA;"zondag";"Wielrevelt";5,0035596;52,1182925
"4281";"wijde begijnehof,utrecht";2012;"vrijdag";"28/09/2012";"39";"16:00";"21:00";"25 jarig bestaan blauwe zwaan";"Wijde Begijnehof";"Wijde Begijnehof";136845;456433;5,122257;52,09585;"vrijdag";"Wijde Begijnehof";5,1221622;52,0957773
"4282";"wijde begijneplein,utrecht";2013;"maandag";"29-04-2013 t/m 30-04-2013";"18";"18:00      11:00 ";"01:00     18:00";"Evenementenplein Wijde Begijneplein";"Wijde Begijneplein";"";NA;NA;NA;NA;"maandag";"Wijde Begijneplein";5,1215533;52,0959581
"4283";"wijde begijnestraat,utrecht";2012;"maandag";"29-04-2012 t/m 30-04-2012";"17";"18:00 11:00";"01:00 18:00";"Evenementenplein Wijde Begijnestraat";"Wijde Begijnestraat";"Wijde Begijnestraat";136826;456447;5,121979;52,095975;"maandag";"Wijde Begijnestraat";5,1215533;52,0959581
