year;day;date_from_to;weeknr;time_from;time_to;event_naam;location;openbareruimtenaam;rdx;rdy;lon;lat
2011;vrijdag;04-03-2011;9;10:00;18:00;Hartekreten Liefdescaravan;Neude;Neude;136588;456080;5.118539;52.092668
2011;vrijdag;04-03-2011;9;13:15;14:45;Carnavalsoptocht Ludgerschool ;Bonifaciusstraat;;;;;
2011;zaterdag;05-03-2011;9;12:30;14:30;Carnavalsoptocht;Wilhelminapark en route naar Willemstraat;;;;;
2011;zaterdag;05-03-2011;9;;;Parapluvergunning Carnaval;WKC Kanaleneiland;;;;;
2011;zaterdag;elke eerste zaterdag van de maand 12-03-2011 t/m 31-12-2011;10;11:00;14:00;Kidsclub Parkwijk;WKC Parkwijk;;;;;
2011;dinsdag;08-03-2011 t/m 19-03-2011;10;;;Objectvergunning Museum Speelklok ;Domplein ;;;;;
2011;dinsdag;08-03-2011 t/m 19-03-2011;10;;;Objectvergunning Museum Speelklok ;Janskerkhof ;;;;;
2011;dinsdag;08-03-2011 t/m 19-03-2011;10;;;Objectvergunning Museum Speelklok ;Tolsteegbarriere ;;;;;
2011;dinsdag;08-03-2011 t/m 19-03-2011;10;;;Objectvergunning Museum Speelklok ;Korte Minrebroederstraat ;;;;;
2011;dinsdag;08-03-2011 t/m 19-03-2011;10;;;Objectvergunning Museum Speelklok ;Moreelsepark;Moreelsepark;136296;455579;5.114306;52.088158
2011;woensdag;16-03-2011 t/m 27-03-2011;11;09:00;01:00;Tweetakt;Neude;Neude;136588;456080;5.118539;52.092668
2011;dinsdag;15-03-2011;11;18:00;23:00;Heropening Thom Broekman;Lange Elisabethstraat;Lange Elisabethstraat;136405;455913;5.115876;52.091165
2011;zaterdag;19-03-2011;11;;;Parapluvergunning Belangenvereniging Hoog Catharijne;Hoog Catharijne;;;;;
2011;maandag;21-03-2011 t/m 11-04-2011;12;;;Objectvergunning Liszt Concours;Neude;Neude;136588;456080;5.118539;52.092668
2011;maandag;21-03-2011 t/m 11-04-2011;12;;;Objectvergunning Liszt Concours;Janskerkhof ;;;;;
2011;maandag;21-03-2011 t/m 11-04-2011;12;;;Objectvergunning Liszt Concours;Domplein  ;;;;;
2011;maandag;21-03-2011 t/m 11-04-2011;12;;;Objectvergunning Liszt Concours;Mariaplaats  ;;;;;
2011;maandag;21-03-2011 t/m 11-04-2011;12;;;Objectvergunning Liszt Concours;Lucasbolwerk  ;;;;;
2011;maandag;21-03-2011 t/m 11-04-2011;12;;;Objectvergunning Liszt Concours;Servaasbolwerk  ;;;;;
2011;maandag;21-03-2011 t/m 11-04-2011;12;;;Objectvergunning Liszt Concours;Tolsteegbarriere  ;;;;;
2011;maandag;21-03-2011 t/m 11-04-2011;12;;;Objectvergunning Liszt Concours;Tolsteegbarriere ;;;;;
2011;maandag;21-03-2011 t/m 11-04-2011;12;;;Objectvergunning Liszt Concours;Moreelsepark;Moreelsepark;136296;455579;5.114306;52.088158
